MaterialNumber,MaterialDescription,MaterialType,BaseUnit,ProcurementType,Plant,ValuationClass
85123A,White Hanging Heart T-Light Holder,HALB,EA,E,1000,3000
71053,White Metal Lantern,HALB,EA,E,1000,3000
84406B,Cream Cupid Hearts Coat Hanger,HALB,EA,E,1000,3000
84029G,Knitted Union Flag Hot Water Bottle,HALB,EA,E,1000,3000
84029E,Red Woolly Hottie White Heart.,HALB,EA,E,1000,3000
22752,Set 7 Babushka Nesting Boxes,HALB,EA,E,1000,3000
21730,Glass Star Frosted T-Light Holder,HALB,EA,E,1000,3000
22633,Hand Warmer Union Jack,HALB,EA,E,1000,3000
22632,Hand Warmer Red Polka Dot,HALB,EA,E,1000,3000
84879,Assorted Colour Bird Ornament,HALB,EA,E,1000,3000
22745,Poppy'S Playhouse Bedroom,HALB,EA,E,1000,3000
22748,Poppy'S Playhouse Kitchen,HALB,EA,E,1000,3000
22749,Feltcraft Princess Charlotte Doll,HALB,EA,E,1000,3000
22310,Ivory Knitted Mug Cosy,HALB,EA,E,1000,3000
84969,Box Of 6 Assorted Colour Teaspoons,HALB,EA,E,1000,3000
22623,Box Of Vintage Jigsaw Blocks,HALB,EA,E,1000,3000
22622,Box Of Vintage Alphabet Blocks,HALB,EA,E,1000,3000
21754,Home Building Block Word,HALB,EA,E,1000,3000
21755,Love Building Block Word,HALB,EA,E,1000,3000
21777,Recipe Box With Metal Heart,HALB,EA,E,1000,3000
48187,Doormat New England,HALB,EA,E,1000,3000
22960,Jam Making Set With Jars,HALB,EA,E,1000,3000
22913,Red Coat Rack Paris Fashion,HALB,EA,E,1000,3000
22912,Yellow Coat Rack Paris Fashion,HALB,EA,E,1000,3000
22914,Blue Coat Rack Paris Fashion,HALB,EA,E,1000,3000
21756,Bath Building Block Word,HALB,EA,E,1000,3000
22728,Alarm Clock Bakelike Pink,HALB,EA,E,1000,3000
22727,Alarm Clock Bakelike Red,HALB,EA,E,1000,3000
22726,Alarm Clock Bakelike Green,HALB,EA,E,1000,3000
21724,Panda And Bunnies Sticker Sheet,HALB,EA,E,1000,3000
21883,Stars Gift Tape,HALB,EA,E,1000,3000
10002,Inflatable Political Globe,FERT,EA,E,1000,3000
21791,Vintage Heads And Tails Card Game,HALB,EA,E,1000,3000
21035,Set/2 Red Retrospot Tea Towels,HALB,EA,E,1000,3000
22326,Round Snack Boxes Set Of4 Woodland,HALB,EA,E,1000,3000
22629,Spaceboy Lunch Box,HALB,EA,E,1000,3000
22659,Lunch Box I Love London,HALB,EA,E,1000,3000
22631,Circus Parade Lunch Box,HALB,EA,E,1000,3000
22661,Charlotte Bag Dolly Girl Design,HALB,EA,E,1000,3000
21731,Red Toadstool Led Night Light,HALB,EA,E,1000,3000
22900,Set 2 Tea Towels I Love London,HALB,EA,E,1000,3000
21913,Vintage Seaside Jigsaw Puzzles,HALB,EA,E,1000,3000
22540,Mini Jigsaw Circus Parade,HALB,EA,E,1000,3000
22544,Mini Jigsaw Spaceboy,HALB,EA,E,1000,3000
22492,Mini Paint Set Vintage,HALB,EA,E,1000,3000
POST,Postage,HALB,EA,E,1000,3000
22086,Paper Chain Kit 50'S Christmas,HALB,EA,E,1000,3000
20679,Edwardian Parasol Red,HALB,EA,E,1000,3000
37370,Retro Coffee Mugs Assorted,HALB,EA,E,1000,3000
21871,Save The Planet Mug,HALB,EA,E,1000,3000
21071,Vintage Billboard Drink Me Mug,HALB,EA,E,1000,3000
21068,Vintage Billboard Love/Hate Mug,HALB,EA,E,1000,3000
82483,Wood 2 Drawer Cabinet White Finish,HALB,EA,E,1000,3000
82486,Wood S/3 Cabinet Ant White Finish,HALB,EA,E,1000,3000
82482,Wooden Picture Frame White Finish,HALB,EA,E,1000,3000
82494L,Wooden Frame Antique White,HALB,EA,E,1000,3000
21258,Victorian Sewing Box Large,HALB,EA,E,1000,3000
22114,Hot Water Bottle Tea And Sympathy,HALB,EA,E,1000,3000
21733,Red Hanging Heart T-Light Holder,HALB,EA,E,1000,3000
22386,Jumbo Bag Pink Polkadot,HALB,EA,E,1000,3000
85099C,Jumbo  Bag Baroque Black White,HALB,EA,E,1000,3000
21033,Jumbo Bag Charlie And Lola Toys,HALB,EA,E,1000,3000
20723,Strawberry Charlotte Bag,HALB,EA,E,1000,3000
84997B,Red 3 Piece Retrospot Cutlery Set,HALB,EA,E,1000,3000
84997C,Blue 3 Piece Polkadot Cutlery Set,HALB,EA,E,1000,3000
21094,Set/6 Red Spotty Paper Plates,HALB,EA,E,1000,3000
20725,Lunch Bag Red Retrospot,HALB,EA,E,1000,3000
21559,Strawberry Lunch Box With Cutlery,HALB,EA,E,1000,3000
22352,Lunch Box With Cutlery Retrospot,HALB,EA,E,1000,3000
21212,Pack Of 72 Retrospot Cake Cases,HALB,EA,E,1000,3000
